agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1200079,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,3849.2567567567567,0.0046041011810302,,,
1200385,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,4819.256756756757,0.0046041011810302,,,
1199959,vector_thrust,strategic,LocalVO,0,3270.0,3270.0,3739.2567567567567,3809.5472871693487,0.2960600852966308,,,
1200814,vector_thrust,strategic,LocalVO,0,3040.0,3040.0,3852.7765444976926,3852.883394741737,0.5295145511627197,,,
1201225,vector_thrust,strategic,LocalVO,0,800.0,800.0,1738.5135135135135,1738.5135135135135,0.0049848556518554,,,
1200812,vector_thrust,strategic,LocalVO,1,2350.0,2350.0,3162.7765444976926,3842.776544497692,0.007974624633789,,,
1201487,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,4991.536679415108,0.0185394287109375,,,
1201305,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,4108.007771698132,0.0371630191802978,,,
1201776,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,6381.536679415108,0.0185394287109375,,,
1201496,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,5031.536679415108,0.0185394287109375,,,
1200403,vector_thrust,strategic,LocalVO,0,1260.0,1260.0,2072.776544497693,2073.158777489251,0.0328867435455322,,,
1201316,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,4171.536679415108,0.0185394287109375,,,
1200401,vector_thrust,strategic,LocalVO,0,1120.0,1120.0,1932.7765444976928,1932.7765444976917,0.0078904628753662,,,
1201663,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5818.007771698132,0.0371630191802978,,,
1200012,vector_thrust,strategic,LocalVO,0,1940.0,1940.0,2878.5135135135133,2878.605106191849,0.0345337390899658,,,
1201822,vector_thrust,strategic,LocalVO,0,5470.0,5470.0,6408.513513513513,6528.513513513512,0.0073902606964111,,,
1201653,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,5781.536679415108,0.0185394287109375,,,
1201848,vector_thrust,strategic,LocalVO,0,5790.0,5790.0,6602.776544497693,6602.77654449769,0.0074167251586914,,,
1199982,vector_thrust,strategic,LocalVO,0,3270.0,3270.0,3739.2567567567567,4019.5472871693487,0.2960600852966308,,,
1200968,vector_thrust,strategic,LocalVO,0,4250.0,4250.0,4719.256756756757,4859.256756756757,0.0106425285339355,,,
1200479,vector_thrust,strategic,LocalVO,0,1620.0,1620.0,2089.2567567567567,2089.256756756755,0.0113499164581298,,,
1201713,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,6068.007771698132,0.0371630191802978,,,
1200632,vector_thrust,strategic,LocalVO,1,3920.0,3920.0,4389.256756756757,4549.256756756755,0.0149476528167724,,,
1201560,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,5341.536679415108,0.0185394287109375,,,
1200387,vector_thrust,strategic,LocalVO,1,2970.0,2970.0,4211.536679415107,4821.536679415108,0.0089418888092041,,,
1201832,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,6571.536679415108,0.0185394287109375,,,
